,0,1,2,3,4,5,6,7,8,9
0,how tall is empire state bldg,how tall the empire building,how tall is the biggest building in the world,how tall is the eiffel tower in paris compared to the empire state building,how tall is the tallest tree,what is the tallest building in the world and how tall is it?,how tall is the tallest in the world,how tall is tallest mountain,how tall is the great pyramid,how tall is the tallest skyscraper in feet
1,0.93655410181649279,0.93088791107483793,0.80215461581136527,0.78732491388753767,0.75908309820133879,0.75904358191703747,0.75816288555251854,0.74712952164574808,0.7424980424385369,0.73137912661043125
