,0,1,2,3,4,5,6,7,8,9
0,when was the revolutionary war?,what year did world war one?,when did world war ii end?,when did the united states enter world war i? what was the significance of,when did war world war one end?,when was the civil war?,what year did world war i take place?,when did william golding go to war?,when was the mexican war?,when did wwi end?
1,0.81884985943956845,0.81134870175898466,0.8099189426068546,0.79813238179079249,0.79780466471490374,0.77906455646653894,0.77694573388272914,0.76545739592811868,0.75789813140897122,0.73908148985744804
