,new york,los angeles,chicago,dallas,seattle,boston,paris,bordeauz,marseilles,nice,lyon,beijing,shanghai,shenzhen,chengdu,tianjin,hangzhou,nanjing,london,manchester,york,liverpool,bristol,nottingham,birmingham,new dehli,mumbai,bengaluru,chennai,hyderabad,kolkata
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.6181243736740644,0.5536223053339095,0.5196447896367329,0.4486283742175085,0.4379196437640165,0.33608911187577545,0.5668176761097867,0.443872159498662,0.5526585192863824,0.6014109169446719,0.7200050174333404,0.53580431453263,0.49554625305857664,0.541990032031142,0.6036619876586227,0.574099030224575,0.4538555667768052,0.558731750672646,0.3752026857605087,0.4034088854919553,0.40250323246307385,0.3529806784556603
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.702557916473102,0.5488904876239061,0.3735801943022178,0.46296336184469156,0.4202710997308542,0.6064178704974688,0.3532812094711289,0.5607662389984259,0.6716184634750344,0.6065794503541678,0.7549362170535401,0.589349670613924,0.5819179510369763,0.6982310193576963,0.596011720932119,0.53783231308468,0.48056851367588493,0.3245784862979507,0.6089993497685734,0.4348201953287111,0.36081232809996927
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.5650692083234659,0.4381150479319313,0.47842926179266326,0.41010424945502943,0.5964946377785493,0.4748172930064598,0.5269954594965912,0.8045927159694923,0.5537784337667391,0.692086306884776,0.657366899506342,0.6152044929838631,0.6983747346789544,0.5929233632035817,0.4839154227457685,0.4288646201927978,0.3446960193113373,0.4548202843971676,0.342565428717924,0.3729229644235886
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6777079588772172,0.6828160306087705,0.6983611664862528,0.7963724862837517,0.6586849547891691,0.779494612592427,0.5436415285472685,0.4622304676502635,0.5206586576254012,0.41520509642248254,0.5897664596993271,0.503869993112879,0.6056707076941297,0.5989452557627255,0.6610997381753371,0.6770744636115658,0.6595832104619853,0.5690461394396777,0.5952814760146286
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.7946404081621828,0.7981935858672132,0.5713229719893018,0.849627322238838,0.7305877479558419,0.4660581502027092,0.5340772440126096,0.40569317425036977,0.28724877885618044,0.3321843164380405,0.5426924207104858,0.43650952966785167,0.4885765613024184,0.5344322994254267,0.625828409623209,0.5606495850326906,0.5530466768309529,0.5201574991954082
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.7525527807435397,0.6572936407307889,0.708520593055058,0.7092990609052211,0.4688593851381804,0.5618588373432367,0.46522870192821336,0.3470372030378095,0.3171257119968207,0.5349221328593363,0.44580608567294133,0.5409745050058231,0.4243269891322232,0.5048904187714975,0.5647036610895205,0.501878118510873,0.44842603974351203
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5532610901579154,0.719728080865862,0.7304862906823069,0.458948436427168,0.5146487941943295,0.3676128429444329,0.26263012982066547,0.3012825456558781,0.5284239664018333,0.4320292051128155,0.5742916545659338,0.4695908006227092,0.600805280312335,0.7024238091344215,0.5197360767445579,0.5192390080344661
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5495592924060179,0.8071082326376909,0.5247278417430917,0.4551768055272438,0.5674422924193689,0.44655306162314723,0.4993016635031378,0.5743415820762986,0.5553744737656265,0.5276865372315628,0.5431298850475575,0.4390099933375359,0.5913165562669206,0.47137323956624183,0.4787162533374263
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.693759059131897,0.5022131943436021,0.4813023587741905,0.4337034440969013,0.3175441500481615,0.35374965797071606,0.5191348952095239,0.45326280772906463,0.48498925569687246,0.5330550178104526,0.6767082386720592,0.5199657833243023,0.5788216683680985,0.525555414203914
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5297886022154739,0.5439029977502753,0.4495586230705138,0.3445993089757023,0.390319039522245,0.6020704190599608,0.532187989821255,0.49153377279008026,0.5412547877048258,0.5777957515554991,0.6562931658824668,0.4873539786699476,0.42542533028868645
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.6721746026462908,0.6661982249476297,0.735319301886783,0.6544390932209568,0.740617288926992,0.6355632652415389,0.5167061552049907,0.4953962361380661,0.4709582960905534,0.5078030331719037,0.45667760140844715,0.43243063715362423
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.5705216412445528,0.554824210878464,0.5614891623743717,0.7797741140838267,0.6468164723475414,0.37009281185567494,0.4913890207580151,0.39356718346192854,0.507895811521316,0.39523514668829685,0.34400261481527283
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6568246327650937,0.6235847542960271,0.6955813774830405,0.614268697540504,0.5424628719652513,0.5240960473967646,0.4140648895466996,0.4814916871497528,0.5247421228017064,0.49301338069390005
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.5951623898396459,0.6115692651747,0.5265122824798567,0.3408358576385062,0.36171533712328363,0.33620771327669174,0.3216939344224881,0.30714258359242996,0.40714780414826324
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.6241822301511524,0.7481121359706775,0.334561648589147,0.536381376774056,0.5461409292118061,0.37212824089232155,0.38342563813207425,0.3898000929708874
