,new york,los angeles,chicago,dallas,seattle,boston,paris,bordeauz,marseilles,nice,lyon,beijing,shanghai,shenzhen,chengdu,tianjin,hangzhou,nanjing,london,manchester,york,liverpool,bristol,nottingham,birmingham,new dehli,mumbai,bengaluru,chennai,hyderabad,kolkata,berlin,munich,hamburg,frankfurt,cologne,nuremberg,moscow,saint petersburg,kazan,yekaterinaburg,volgograd,sochi,vancouver,montreal,calgary,ottawa,toronto,edmonton,rio de janeiro,sao paulo,manaus,porto alegre,salvador,brasilia,cape town,johannesburg,durban,pretoria,port elizabeth
0,0.9999999999999998,0.55048049786709,0.5824250866427321,0.5275269259694843,0.5867062912985967,0.6191655982488636,0.5930941901240114,0.46004418358617805,0.4809457269878663,0.7551549658249352,0.6392924960023721,0.47841067573175244,0.3625715427740318,0.43546080610735505,0.3488704351308764,0.5371062790921795,0.3808429241118567,0.4508321842296172,0.6213469193269006,0.5199527282518981,0.9643691773401741,0.6153319157711536,0.557765855570942,0.6738423213045532,0.547682148771634,0.5924819078953849,0.4848765558631306,0.3915548963785269,0.47079983020687155,0.4865131487215634,0.44085479176129483,0.6545080611447555,0.4675181260874525,0.6260839708112458,0.6266120303443522,0.5729577301491968,0.6269077741160679,0.6448454331128469,0.5518026208612894,0.5920568717193133,0.6432517565324719,0.5121302364982375,0.5600029099645205,0.5924203800275882,0.5244462222705555,0.5019746544267174,0.5479855189871009,0.6359670167057792,0.5363830970636505,0.47675398178253464,0.471219415388038,0.45194147359399,0.38849557924774764,0.4309371694512147,0.3712225662812577,0.7148669731821728,0.5840490327522451,0.5471164167820378,0.5308052358876816,0.6899312053003276
1,0.0,1.0000000000000002,0.6159868086326482,0.6206143803914714,0.6362535587732187,0.6474244840825595,0.5956702696871238,0.40315214704337754,0.5697401992777323,0.603963350655813,0.6287388722198873,0.5770597334141693,0.527982028616906,0.4341706300174904,0.45586532965907045,0.48369193986744735,0.4838072961719365,0.43447227906219765,0.6749760429324623,0.5208586107921825,0.582686730546578,0.574131648001641,0.5302078160038343,0.5454104121827729,0.5109345390363037,0.49183963798575253,0.5097323381959697,0.4555092881787573,0.42386605101334335,0.3845980077195934,0.4511543258673903,0.5727181682658389,0.45843086313379533,0.5509694705706553,0.5026365661383155,0.6861602137740597,0.5823508768958042,0.6382107648527701,0.5603417268988398,0.5692396808849852,0.4178741027191606,0.49323601378510795,0.5405069888626904,0.5895152135210306,0.5663887822011963,0.634213818659418,0.4602736020307544,0.5638699107106393,0.5119106139976767,0.518408595243665,0.5868838028013145,0.4908507776297196,0.6230371710394697,0.6373675962484022,0.5634885360360214,0.6063291269211938,0.5829026494099541,0.5570341735699549,0.5094980033119964,0.48420732395230737
2,0.0,0.0,1.0,0.6535857083319232,0.5904767562912671,0.6353696862852611,0.569974822366503,0.34819033240002994,0.5628777233717889,0.6180099650229053,0.5859953365972824,0.5871348176055027,0.5888445552432603,0.5257987435789311,0.606222972315964,0.5483283064406922,0.563245754367484,0.5352351730554693,0.5900132855364599,0.59274398259479,0.6493307133651203,0.4780630099655333,0.45904498487475964,0.6018032141813389,0.5738185880380765,0.4752087047694565,0.5392352867828571,0.4636014277514243,0.6591128748948057,0.5041471948327033,0.4912670294705025,0.543813262855843,0.6235269792788949,0.6135866927289007,0.6126623470947308,0.7155942682633449,0.548925129687324,0.645086054762835,0.5873044069741414,0.589396570508457,0.5440845524102353,0.48000719576539186,0.5731805457160097,0.638560589705365,0.5331193330021966,0.5996891438069,0.5134412366134953,0.657511131990272,0.4808277979716665,0.4995520007294569,0.5728159074003385,0.5615897275194589,0.45387569250916926,0.5705567653325253,0.46871135923305934,0.6389503858041191,0.6174981616265328,0.5588510172716407,0.5146209751467673,0.5246820339341026
3,0.0,0.0,0.0,1.0000000000000002,0.6180185283005913,0.562943465061258,0.5099562827633458,0.43891179749941167,0.5785290228749657,0.5776146182955939,0.5028229908950463,0.522227366788613,0.4614091831691078,0.4936731044522226,0.5299243376377859,0.5493127081053826,0.44130887559370907,0.4518426016998872,0.5999250107640892,0.5232486773666107,0.5806606720387534,0.4816338794294695,0.4813835797979172,0.5275452532741447,0.5476688393566868,0.6173025363607862,0.5028084186316296,0.4759121140434508,0.5200060659234819,0.5929381207867317,0.5442318873824225,0.5232215195692717,0.48844123368711667,0.5440499678025712,0.61589102867182,0.6852011008284696,0.5300353270962982,0.6200744532274075,0.5271157740282755,0.5805378496879939,0.5184664759674716,0.5268141900754988,0.4880760117065526,0.5728938976167413,0.5437738998956423,0.6295936784458653,0.44454694025100555,0.53115043086471,0.47701586594171114,0.5534092749382091,0.5558793452544659,0.5271028717017736,0.4447755559324139,0.6869830435886976,0.4992998991756157,0.615815974747135,0.5713734394148429,0.6345412074580902,0.45883385243803126,0.4438668080628599
4,0.0,0.0,0.0,0.0,0.9999999999999997,0.6547626832002402,0.5000037421965242,0.48413547149421526,0.5626124206958053,0.5978326241015118,0.5653586387330166,0.49728011941016015,0.46476907419687086,0.5470975313609381,0.40462080828068664,0.5659394545179691,0.409586951081962,0.3661990608519731,0.5496196461667637,0.50829627696246,0.6333605176005281,0.5297268449929697,0.4839955270341447,0.5512759167545158,0.49603961258678997,0.4735511682204468,0.41456876950496263,0.29710383911052796,0.38510585599346786,0.3908975755023336,0.39234025958452134,0.5604170558522198,0.41257508239924023,0.5015340313446612,0.5464859855716245,0.5584811974691124,0.5341217631974422,0.6825888286017462,0.6109398034177215,0.6326507366165292,0.49488002168301665,0.5640054850485985,0.5756353238075226,0.7425549241266661,0.5362511070559194,0.5767175756555045,0.533000816523379,0.6437797911213805,0.5288467081790348,0.39632819297180005,0.5177802126057979,0.4394610607381087,0.3749714947697965,0.5759065564845768,0.4014592513126629,0.6383393118837511,0.540825236525305,0.5301293991317536,0.48948255616676056,0.5380688686310542
5,0.0,0.0,0.0,0.0,0.0,1.0,0.5463065784781311,0.6057060059472914,0.5257369200740591,0.5900139497211471,0.5747671615197232,0.581191786545301,0.4776738022807894,0.47645281129474226,0.4292231454179777,0.4880229551295363,0.4656961930446314,0.42197796152838163,0.7142503882223717,0.6627635645685337,0.663140262218182,0.5802644042768245,0.7287730234948849,0.6407970753725138,0.6722860630195906,0.39917960899279964,0.5152695055700758,0.550452794180774,0.39943514449268697,0.43689137129617633,0.40451826313279476,0.6785692278042882,0.47384964611803254,0.6209061962159638,0.6148375917273989,0.624635942208352,0.631004041908656,0.6424633376570392,0.7123491264330903,0.6332046055255816,0.5324553089234142,0.46934306368446893,0.5684824954581046,0.6498325485482934,0.6058929088688128,0.5206970756068273,0.5399009367190528,0.6668168368957151,0.5783505739708256,0.4602760131828688,0.5886655959365505,0.510709439066523,0.39893779644603233,0.5632323662465157,0.5674175746876092,0.7048416457032726,0.7119910820757768,0.6794512289101525,0.5143090871439153,0.554923591684908
6,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5078373184405419,0.6023105110548349,0.6511311256859601,0.6292229193438432,0.5818683144949677,0.4043043545426815,0.35518320475675835,0.3563162915401295,0.5542154765417233,0.39254231204418033,0.49580400823484455,0.6456022824864872,0.48895903469476837,0.6311688253117812,0.6615177680422785,0.6394753769288637,0.4841344634161934,0.5466453912781486,0.4863975465588178,0.5301642762300897,0.39740181585775924,0.5182701572908666,0.4123929896422017,0.4582244117035485,0.6272855735190647,0.501371958772244,0.5608730274408443,0.5469847984436016,0.5901303297991886,0.5320755821086437,0.6408236695439703,0.6021128952527333,0.5286267595723279,0.51489316631307,0.40362032378618706,0.5173937234216223,0.5525255273437316,0.566889603487764,0.5041676814365073,0.4913975808762141,0.5434458766943103,0.51524650577716,0.5913411527392661,0.6702813874474273,0.500187283528215,0.505872225223432,0.42361636603768454,0.5148329642683117,0.6346626912504919,0.5648759414395302,0.5477548562054885,0.664810760564431,0.5857879673986714
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5699815244183917,0.44891139655438317,0.5219090403583048,0.4583087803693748,0.40979744632363085,0.4321068608236866,0.33020321106986505,0.460157979605728,0.4740683464848663,0.4505164041906733,0.5762998631658786,0.5160732220288947,0.49032241148421696,0.48065086282975505,0.569068671387876,0.5138091432348073,0.5930657463166206,0.39329941728873524,0.4484225058349908,0.5334358474236129,0.2573267653969158,0.4026096268666188,0.33637380340227996,0.6328247652732041,0.4342474518543698,0.5754571352453548,0.5321437760593402,0.5243859344432582,0.5440142450203819,0.4812573496532086,0.5893844598232139,0.5678769083120825,0.540861002150347,0.48524189311688215,0.3836230790472925,0.6153509883200401,0.48283142248037536,0.4498456485730365,0.4209488742048704,0.5442299780905767,0.5332044590459806,0.37724338105867483,0.3716859692493133,0.47133043708380357,0.3626524724113592,0.48522105029685936,0.43564028447010944,0.45408954089975123,0.637229570840185,0.6592196174380028,0.3890097898328741,0.48408973903847274
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.6181243736740644,0.5536223053339095,0.5196447896367329,0.4486283742175085,0.4379196437640165,0.33608911187577545,0.5668176761097867,0.443872159498662,0.5526585192863824,0.6014109169446719,0.7200050174333404,0.53580431453263,0.49554625305857664,0.541990032031142,0.6036619876586227,0.574099030224575,0.4538555667768052,0.558731750672646,0.3752026857605087,0.4034088854919553,0.40250323246307385,0.3529806784556603,0.6290098065581416,0.5981312670559741,0.6463744383865746,0.44586727362171363,0.6463394380137328,0.5672269062906182,0.6410967100630359,0.5505995041942604,0.5270093383940682,0.4203177779780323,0.42245822983323367,0.4278255324694302,0.5823098783645261,0.7138099290846979,0.520986793991188,0.397357814394844,0.5004952198804036,0.5437615834377812,0.49384224278954575,0.5111888470512487,0.6929568670897572,0.5368823154816901,0.5868940504653954,0.48982476359618954,0.5151550976202212,0.5840233512691827,0.5220002719190446,0.37803665418968246,0.44471225802406056
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.702557916473102,0.5488904876239061,0.3735801943022178,0.46296336184469156,0.4202710997308542,0.6064178704974688,0.3532812094711289,0.5607662389984259,0.6716184634750344,0.6065794503541678,0.7549362170535401,0.589349670613924,0.5819179510369763,0.6982310193576963,0.596011720932119,0.53783231308468,0.48056851367588493,0.3245784862979507,0.6089993497685734,0.4348201953287111,0.36081232809996927,0.6659554728662852,0.5431229006894239,0.5772627812178568,0.5588233320563571,0.6479953761742776,0.6719781924593204,0.6353767185754249,0.5752932483207023,0.548835331915096,0.6183344771843817,0.4574464258041095,0.5911170258653178,0.6246000201429629,0.5326992044643339,0.48046356772730936,0.49951217552926486,0.5671933789158743,0.5719450365674023,0.5342358057749681,0.4712253494987769,0.49264915846008944,0.44905094161349235,0.436771391758026,0.4042810980837238,0.7021900497159771,0.5858698015878352,0.5593068915102574,0.5056796566117562,0.583662857335571
